name,price
★ Specialist Gloves | Emerald Web (Factory New),30000
Souvenir Desert Eagle | Mudder (Battle-Scarred),29999
★ Karambit | Crimson Web (Factory New),28800
★ Moto Gloves | Spearmint (Minimal Wear),28800
Sticker | mousesports (Holo) | Katowice 2014,27700
Sticker | somebody (Gold) | Boston 2018,27500
★ Moto Gloves | Blood Pressure (Factory New),27400
★ StatTrak™ Butterfly Knife | Ultraviolet (Factory New),27000
AUG | Akihabara Accept (Factory New),26966
AWP | Gungnir (Well-Worn),26020
AWP | Dragon Lore (Field-Tested),25580
AWP | Gungnir (Battle-Scarred),25490
★ Talon Knife | Crimson Web (Factory New),25444
★ Driver Gloves | Black Tie (Factory New),25200
★ StatTrak™ Stiletto Knife | Case Hardened (Factory New),25000
★ Specialist Gloves | Fade (Factory New),25000
AWP | Medusa (Factory New),25000
★ Paracord Knife | Crimson Web (Factory New),24600
AWP | Dragon Lore (Well-Worn),24488
Souvenir M4A1-S | Imminent Danger (Minimal Wear),24000
★ Sport Gloves | Vice (Minimal Wear),23700
AK-47 | Wild Lotus (Field-Tested),23500
Sticker | s1mple (Gold) | Krakow 2017,22750
★ Sport Gloves | Nocts (Factory New),22500
M4A4 | Howl (Minimal Wear),22000
Sticker | Titan | Katowice 2014,21999
★ Sport Gloves | Hedge Maze (Minimal Wear),21200
★ Hand Wraps | CAUTION! (Factory New),21000
★ Moto Gloves | Finish Line (Factory New),20800
Souvenir M4A1-S | Welcome to the Jungle (Minimal Wear),20500
★ Specialist Gloves | Field Agent (Factory New),20300
★ StatTrak™ Classic Knife | Fade (Minimal Wear),20000
★ StatTrak™ Karambit | Night (Factory New),19999
★ StatTrak™ Butterfly Knife | Lore (Minimal Wear),19750
★ Butterfly Knife | Lore (Minimal Wear),19500
AWP | The Prince (Factory New),19209
★ Hand Wraps | Cobalt Skulls (Factory New),19199
★ StatTrak™ Butterfly Knife | Autotronic (Factory New),18880
Sticker | iBUYPOWER | Katowice 2014,18279.5
★ StatTrak™ Butterfly Knife | Black Laminate (Factory New),18100
M4A4 | Howl (Field-Tested),18000
M4A4 | Howl (Well-Worn),17688
★ StatTrak™ Navaja Knife | Urban Masked (Factory New),17435.9
★ Driver Gloves | Crimson Weave (Factory New),17268
★ Sport Gloves | Omega (Factory New),16999
Souvenir AK-47 | Gold Arabesque (Minimal Wear),16880
★ StatTrak™ Paracord Knife | Safari Mesh (Factory New),16666
Souvenir AWP | Desert Hydra (Minimal Wear),16500
AWP | The Prince (Minimal Wear),16200
AK-47 | Wild Lotus (Well-Worn),16120
★ Moto Gloves | Smoke Out (Factory New),16100
★ Butterfly Knife | Ultraviolet (Factory New),16000
Sticker | DD (Gold) | Boston 2018,15900
★ Sport Gloves | Scarlet Shamagh (Factory New),15700
Sticker | ropz (Gold) | Krakow 2017,15400
AWP | Dragon Lore (Battle-Scarred),15396
★ Sport Gloves | Pandora's Box (Field-Tested),15197
★ StatTrak™ Karambit | Freehand (Battle-Scarred),15000
★ Bayonet | Crimson Web (Factory New),14850
M4A1-S | Welcome to the Jungle (Factory New),14800
★ Sport Gloves | Superconductor (Minimal Wear),14800
StatTrak™ AK-47 | Fire Serpent (Minimal Wear),14689
AWP | Medusa (Minimal Wear),14360
★ StatTrak™ Karambit | Autotronic (Factory New),14000
AWP | The Prince (Field-Tested),13800
★ Stiletto Knife | Crimson Web (Factory New),13500
★ Sport Gloves | Arid (Factory New),13500
★ StatTrak™ M9 Bayonet | Lore (Factory New),13400
AWP | Desert Hydra (Factory New),13079
★ StatTrak™ Butterfly Knife | Gamma Doppler (Minimal Wear),13000
★ Specialist Gloves | Crimson Kimono (Minimal Wear),13000
Sticker | kennyS (Gold) | Krakow 2017,13000
★ Nomad Knife | Crimson Web (Factory New),12888
Souvenir M4A1-S | Control Panel (Factory New),12888
★ Moto Gloves | POW! (Factory New),12800
Sticker | kennyS (Gold) | Boston 2018,12549
AWP | The Prince (Well-Worn),12503
★ Sport Gloves | Slingshot (Minimal Wear),12500
Sticker | Reason Gaming | Katowice 2014,12434.5
★ M9 Bayonet | Lore (Factory New),12345.67
Souvenir M4A1-S | Nitro (Minimal Wear),12307.7
★ Sport Gloves | Pandora's Box (Well-Worn),12299
★ Butterfly Knife | Autotronic (Factory New),12200
★ Specialist Gloves | Lt. Commander (Factory New),12200
★ Specialist Gloves | Tiger Strike (Minimal Wear),12195
★ Specialist Gloves | Foundation (Factory New),12000
Sticker | Ninjas in Pyjamas (Holo) | Katowice 2014,12000
AK-47 | Fire Serpent (Factory New),11877
★ StatTrak™ Karambit | Lore (Factory New),11666
AWP | The Prince (Battle-Scarred),11600
★ Driver Gloves | Imperial Plaid (Factory New),11488
★ StatTrak™ Butterfly Knife | Fade (Factory New),11350
★ Moto Gloves | Cool Mint (Factory New),11300
Souvenir AWP | Desert Hydra (Field-Tested),11279.9
★ Sport Gloves | Big Game (Factory New),11200
★ Butterfly Knife | Fade (Factory New),11048.5
AK-47 | Gold Arabesque (Factory New),11000
★ StatTrak™ Flip Knife | Gamma Doppler (Minimal Wear),10999.5
M4A1-S | Knight (Minimal Wear),10999
AWP | Medusa (Field-Tested),10998
★ Ursus Knife | Crimson Web (Factory New),10990
★ StatTrak™ Huntsman Knife | Stained (Factory New),10800
M4A1-S | Knight (Factory New),10799
AWP | Desert Hydra (Minimal Wear),10698.88
★ StatTrak™ Butterfly Knife | Fade (Minimal Wear),10600
★ Specialist Gloves | Crimson Web (Factory New),10520
★ Hand Wraps | Giraffe (Factory New),10500
★ Butterfly Knife | Fade (Minimal Wear),10489
M4A1-S | Imminent Danger (Factory New),10488.88
★ StatTrak™ Gut Knife | Rust Coat (Well-Worn),10373
AK-47 | X-Ray (Factory New),10300
★ Classic Knife | Crimson Web (Factory New),10300
Sticker | s1mple (Gold) | Boston 2018,10300
★ StatTrak™ Skeleton Knife | Crimson Web (Minimal Wear),10000
★ StatTrak™ Navaja Knife | Ultraviolet (Battle-Scarred),10000
★ StatTrak™ Shadow Daggers | Ultraviolet (Factory New),10000
★ StatTrak™ Bayonet | Ultraviolet (Battle-Scarred),10000
P90 | Desert Warfare (Well-Worn),10000
DreamHack 2014 Overpass Souvenir Package,10000
★ StatTrak™ Ursus Knife | Tiger Tooth (Minimal Wear),9999.99
