name,price
Autographed Fiery Soul of the Slayer,124.5
Inscribed Shards of Exile,37.5
Genuine Bloodfeather Wings,25.75
Inscribed Splattering Forcipule,10.38
Elder Announcer: Death Prophet,2.77
Autographed Cult of Aktok,11.9
Astral Drift,22.79
First of the Flood,1.21
Scythes of Sorrow,1.14
Kinetic: Bladekeeper's Blade Dance,3.95
Inscribed Righteous Thunderbolt,64
Autographed Gimlek Decanter,12.2
Inscribed Lineage Offhand Blade of Broken Scale,4.97
Auspice of the Whyrlegyge,11.18
Muh Keen Gun,12.44
God's Mercy,82
Blistering Shade,38.2
Garb of the Pack-Ice Privateer,2.29
Kinetic: Torrent of the Divine Anchor,3.96
Voulge of the Andestian Sentinel,4.82
Eye of Omoz,1.6
Horns of the Betrayer,2.62
Frostivus 2018 Treasure I,36.29
Hunger of the Howling Wilds Off-Hand Weapon,14.1
Hunger of the Howling Wilds Weapon,14.25
Hunger of the Howling Wilds Head,1.88
Hunger of the Howling Wilds Tail,2.51
Symbol of the King Restored,3.63
Inscribed Form of Eternal Purgatory,8.47
Frostmoot Tree,84
Inscribed Touch of the Bewitching Flare,5.66
Autographed Flail of the Elemental Imperator,9.5
Sullen Harvest,99.19
Shock of the Anvil,5.43
DPC 2022 Winter Lineage Treasure,1.68
Inscribed Blade of Tears,73.29
Sylvan Vedette,131
Exalted Bladeform Legacy,133.7
Reaper's Wreath,14.09
Mask of Zebulon,6.33
Infused Wings of the Fatal Bloom,3.24
Pauldrons of Zebulon,1.76
Sullen Rampart,19.66
Kinetic: Ambience of Reminiscence,2.99
Focal Resonance,20.92
Treasure of the Timeless Rite,26.79
Wrap of the Shifting Sorcerer,1.77
Bane of the Deathstalkers - Shoulder,13.26
Imperious Command,17.06
Bane of the Deathstalkers - Head,25.3
Large Igneous Stone,1.13
Tiny Igneous Stone,1.33
Tools of the Mad Harvester Set,2.45
Club of the Igneous Stone,1.7
Inscribed Chaos Arbiter,9.46
Infused Dress of the Bewitching Flare,4.8
Infused Helm of the Dark Moon Stalker,25.05
Mount of the Winged Sentinel,20.47
Mane of the Sunwarrior,9.85
Bladesrunner,4.9
78 Autograph Avatar - The International 2021,4.98
Blade of Tears,75.6
Inscribed Golden Shards of Exile,1380
Wind Autograph Avatar - The International 2021,4.98
Inscribed Golden Crucible of Rile,4.49
Iceplain Ravager Horn,5.98
Tail of the Elemental Imperator,1.9
Helm of the Elemental Imperator,5.24
Tiny Frostmoot,19.48
Large Frostmoot,41
Sigil Mask of the Bladekeeper,3.33
Auspicious Mega-Kills: The Stanley Parable,22.31
Golden Edge of the Lost Order,5.47
Judgement of the Fallen,1.13
Golden Twilight Schism,1.77
Scavenging Guttleslug,4.48
Array of Tranquility,2.54
Sorcerer of the Black Pool,2.82
The International 2021 Lineage Treasure,1.49
Hair of the Grey Gallant,4.55
Mandate of the Stormborn,9.12
Orb of Deliverance,5.59
Immortal Treasure I 2017,4.39
Severing Lash,5.39
Primal Paean,5.87
Golden Chaos Fulcrum,6.98
Alluvion Prophecy,7.83
Tines of Tybara,10.79
Golden Fortune's Tout,11.53
Infernal Chieftain,16.3
Mulctant Pall,41.9
Order of the Wandering Flame,11.59
Mantle of the Whispered Bond,6.73
Corrupted Golden Moonfall,97.8
Taunt: You Prefer Arrows?,17.88
Genuine Skittering Desolation,41.9
Inscribed Primal Paean,6.97
Armor of the Chaos Chosen,1.09
Thundergod's Bare Arms,1.02
Helm of the Earthwright,1.62
Golden Bracers of Forlorn Precipice,1.09
Wrath of Ka Cursor Pack,1.84
Bracers of the Honored Servant of the Empire,1.7
Pauldrons of the Honored Servant of the Empire,4.26
Censer of Gliss,1.92
Bloodfeather Feast,2.19
Blastforge Exhaler,2.17
Hearts of Misrule,1.09
Ghastly Nocturne,1.25
Taunt: Shaman Dance,1.11
Paragon's Rebuke,1.34
Maraxiform's Ire,1.19
Hardened Hunter's Bracer,1.87
Progenitor's Bane,1.52
Staff of the Rambling Fatebender,1.99
Bindings of the Trapper,2.08
Death Charge Set,2.6
Genuine Murder Mask,2.31
Helm of the Beholder,1.79
Wraithbinder,3.18
Taunt: Rolling Stone!,2.5
Inscribed Fluttering Mortis,3.5
Inscribed Offhand Basher of Mage Skulls,4.83
Lucentyr,3.62
Slumbering Terror,3.49
Taunt: Giddy Up!,4.01
Exalted Manifold Paradox,165.5
Darktrench Stalker - Head,45
Darktrench Stalker - Shoulder,65.7
Darktrench Stalker - Back,83.9
Wyrmwrought Flare,3.09
Baneful Devotion,3.24
Piston Impaler,10.88
Crimson Pique,2.75
Codicil of the Veiled Ones,68.88
Yulsaria's Mantle,1.36
Munitions of the Powderkeg Patrol,1.13
Ice Blossom,5.5
Disciple of the Wyrmwrought Flame,458.5
Inscribed Yulsaria's Glacier,6
Autographed Codicil of the Veiled Ones,73.78
Infused Wings of the Ethereal Monarch,6.61
Autographed Orb of Deliverance,5.68
Inscribed Gravelmaw,4.93
Inscribed Jewel of Aeons,5.86
Peregrine Flight,5.33
Dress of the Bewitching Flare,5.98
Inscribed Iron Surge,8.96
Pauldrons of the Elemental Imperator,6.76
Inscribed Moonfall,7.21
Autographed Primal Paean,5.78
Bracers of the Cavern Luminar,6.43
